,label
0,False
1,True
2,True
3,False
4,True
5,False
6,True
7,False
8,False
9,True
10,True
11,True
12,False
13,True
14,True
15,True
16,False
17,False
18,False
19,True
20,False
21,False
22,False
23,True
24,False
25,True
26,False
27,True
28,False
29,False
30,True
31,False
32,True
33,False
34,True
35,False
36,False
37,False
38,True
39,False
40,True
41,True
42,True
43,True
44,False
45,False
46,False
47,False
48,True
49,False
50,True
51,True
52,False
53,True
54,True
55,True
56,False
57,True
58,False
59,True
60,False
61,False
62,True
63,True
64,False
65,True
66,True
67,True
68,False
69,True
70,True
71,False
72,False
73,True
74,True
75,True
76,False
77,False
78,True
79,True
80,True
81,False
82,True
83,False
84,False
85,False
86,True
87,False
88,False
89,True
90,False
91,True
92,False
93,False
94,True
95,True
96,False
97,False
98,True
99,False
100,True
101,False
102,True
103,True
104,False
105,True
106,False
107,False
108,True
109,True
110,False
111,True
112,True
113,True
114,True
115,True
116,False
117,True
118,True
119,True
120,False
121,True
122,True
123,True
124,True
125,True
126,False
127,False
128,True
129,True
130,True
131,False
132,True
133,False
134,True
135,True
136,False
137,True
138,True
139,False
140,False
141,True
142,True
143,True
144,False
145,True
146,True
147,True
148,False
149,True
150,True
151,True
152,True
153,True
154,False
155,True
156,True
157,True
158,True
159,True
160,True
161,False
162,False
163,True
164,True
165,True
166,True
167,False
168,True
169,True
170,True
171,False
172,False
173,True
174,True
175,False
176,True
177,True
178,True
179,True
180,True
181,True
182,False
183,True
184,True
185,True
186,True
187,False
188,False
189,False
190,True
191,True
192,True
193,False
194,True
195,False
196,False
197,True
198,True
199,True
200,False
201,False
202,True
203,True
204,True
205,True
206,True
207,True
208,False
209,False
210,True
211,True
212,True
213,True
214,True
215,False
216,True
217,True
218,True
219,False
220,True
221,False
222,False
223,True
224,False
225,True
226,True
227,False
228,False
229,False
230,False
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,False
239,True
240,True
241,True
242,True
243,True
244,True
245,True
246,True
247,True
248,False
249,True
250,True
251,True
252,False
253,True
254,False
255,False
256,True
257,True
258,False
259,True
260,True
261,True
262,False
263,False
264,False
265,True
266,False
267,False
268,False
269,False
270,True
271,True
272,False
273,True
274,False
275,True
276,False
277,False
278,True
279,False
280,True
281,True
282,False
283,False
284,True
285,True
286,False
287,True
288,True
289,False
290,False
291,False
292,False
293,True
294,True
295,True
296,True
297,False
298,True
299,True
300,False
301,False
302,True
303,False
304,False
305,False
306,False
307,False
308,False
309,False
310,False
311,True
312,True
313,False
314,False
315,True
316,True
317,True
318,True
319,True
320,False
321,False
322,True
323,True
324,True
325,True
326,True
327,True
328,False
329,True
330,True
331,False
332,True
333,True
334,False
335,False
336,True
337,False
338,True
339,True
340,True
341,True
342,True
343,True
344,False
345,True
346,False
347,False
348,True
349,False
350,True
351,False
352,True
353,True
354,False
355,True
356,True
357,True
358,False
359,False
360,False
361,True
362,True
363,True
364,True
365,True
366,True
367,False
368,True
369,False
370,False
371,True
372,False
373,True
374,True
375,False
376,True
377,True
378,True
379,True
380,False
381,False
382,True
383,True
384,True
385,False
386,True
387,True
388,True
389,False
390,False
391,True
392,False
393,False
394,True
395,True
396,True
397,True
398,True
399,False
400,False
401,True
402,True
403,True
404,True
405,False
406,True
407,True
408,False
409,False
410,True
411,False
412,True
413,True
414,True
415,False
416,False
417,True
418,False
419,False
420,True
421,False
422,True
423,True
424,True
425,False
426,True
427,True
428,True
429,True
430,False
431,False
432,True
433,False
434,False
435,True
436,True
437,True
438,True
439,False
440,False
441,True
442,True
443,True
444,True
445,False
446,False
447,True
448,True
449,True
450,True
451,False
452,True
453,True
454,True
455,True
456,False
457,True
458,True
459,False
460,False
461,False
462,True
463,False
464,True
465,True
466,True
467,False
468,True
469,False
470,False
471,True
472,True
473,True
474,True
475,True
476,False
477,True
478,True
479,False
480,True
481,True
482,False
483,True
484,True
485,True
486,True
487,True
488,True
489,True
490,False
491,False
492,True
493,True
494,True
495,False
496,False
497,False
498,True
499,False
