,label
0,0
1,0
2,0
3,0
4,0
5,0
6,3
7,0
8,0
9,0
10,2
11,5
12,3
13,0
14,8
15,0
16,6
17,2
18,0
19,0
20,0
21,0
22,8
23,0
24,0
25,7
26,1
27,0
28,8
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,4
39,0
40,3
41,0
42,0
43,1
44,0
45,0
46,8
47,6
48,0
49,0
50,7
51,4
52,0
53,5
54,0
55,6
56,0
57,0
58,6
59,4
60,0
61,0
62,8
63,3
64,0
65,0
66,0
67,4
68,0
69,5
70,6
71,0
72,0
73,2
74,4
75,6
76,8
77,7
78,0
79,6
80,0
81,0
82,0
83,0
84,3
85,0
86,5
87,7
88,0
89,6
90,0
91,3
92,0
93,5
94,4
95,4
96,6
97,5
98,7
99,1
100,8
101,8
102,8
103,0
104,0
105,3
106,0
107,3
108,0
109,7
110,6
111,0
112,0
113,1
114,0
115,5
116,0
117,0
118,5
119,5
120,1
121,0
122,0
123,2
124,2
125,0
126,2
127,0
128,8
129,0
130,0
131,1
132,8
133,0
134,0
135,4
136,2
137,2
138,0
139,2
140,0
141,4
142,8
143,2
144,1
145,4
146,0
147,7
148,0
149,0
150,0
151,5
152,0
153,3
154,0
155,0
156,8
157,7
158,0
159,2
160,8
161,3
162,0
163,3
164,0
165,0
166,0
167,0
168,4
169,0
170,0
171,6
172,7
173,0
174,0
175,0
176,6
177,6
178,3
179,0
180,0
181,0
182,8
183,7
184,6
185,0
186,0
187,7
188,6
189,8
190,0
191,2
192,0
193,0
194,7
195,0
196,0
197,8
198,7
199,7
200,0
201,0
202,0
203,0
204,3
205,3
206,5
207,0
208,7
209,2
210,0
211,0
212,0
213,3
214,5
215,8
216,8
217,0
218,0
219,3
220,3
221,6
222,7
223,2
224,1
225,8
226,0
227,8
228,5
229,0
230,8
231,0
232,0
233,4
234,2
235,5
236,6
237,0
238,1
239,8
240,8
241,6
242,1
243,0
244,5
245,0
246,8
247,0
248,8
249,0
250,0
251,0
252,0
253,0
254,1
255,4
256,0
257,3
258,0
259,7
260,0
261,0
262,0
263,6
264,2
265,3
266,5
267,5
268,1
269,2
270,0
271,7
272,0
273,1
274,0
275,0
276,4
277,0
278,0
279,2
280,0
281,7
282,0
283,7
284,0
285,0
286,5
287,0
288,5
289,3
290,0
291,4
292,0
293,7
294,2
295,4
296,4
297,2
298,0
299,7
