,label
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,1
10,2
11,2
12,2
13,2
14,2
15,3
16,3
17,3
18,3
19,3
20,4
21,4
22,4
23,4
24,4
25,5
26,5
27,5
28,5
29,5
30,6
31,6
32,6
33,6
34,6
35,7
36,7
37,7
38,7
39,7
40,8
41,8
42,8
43,8
44,8
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,2
56,2
57,2
58,2
59,2
60,3
61,3
62,3
63,3
64,3
65,4
66,4
67,4
68,4
69,4
70,5
71,5
72,5
73,5
74,5
75,6
76,6
77,6
78,6
79,6
80,7
81,7
82,7
83,7
84,7
85,8
86,8
87,8
88,8
89,8
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,1
100,2
101,2
102,2
103,2
104,2
105,3
106,3
107,3
108,3
109,3
110,4
111,4
112,4
113,4
114,4
115,5
116,5
117,5
118,5
119,5
120,6
121,6
122,6
123,6
124,6
125,7
126,7
127,7
128,7
129,7
130,8
131,8
132,8
133,8
134,8
