seconds,x,y,z
1398757449.206607521, 18.6083, 118.525, -0.0793989
1398757449.307131457, 18.6083, 118.525, -0.0793989
1398757449.407684369, 18.6083, 118.525, -0.0793989
1398757449.508238471, 18.6083, 118.525, -0.0793989
1398757449.608796403, 18.6083, 118.525, -0.0793989
1398757449.709378416, 18.6083, 118.525, -0.0793989
1398757449.809987456, 18.6083, 118.525, -0.0793989
1398757449.910582717, 18.6083, 118.525, -0.0793989
1398757450.001091961, 18.6083, 118.525, -0.0793989
1398757450.101614100, 18.6083, 118.525, -0.0793989
1398757450.202128129, 18.6083, 118.525, -0.0793989
1398757450.302762027, 18.6083, 118.525, -0.0793989
1398757450.403284432, 18.6083, 118.525, -0.0793989
1398757450.503847347, 18.6083, 118.525, -0.0793989
1398757450.604443261, 18.6083, 118.525, -0.0793989
1398757450.704964562, 18.6083, 118.525, -0.0793989
1398757450.805537531, 18.6083, 118.525, -0.0793989
1398757450.911897147, 18.6083, 118.525, -0.0793989
1398757451.002388650, 18.6083, 118.525, -0.0793989
1398757451.102961118, 18.6083, 118.525, -0.0793989
1398757451.203543576, 18.6083, 118.525, -0.0793989
1398757451.304159454, 18.6083, 118.525, -0.0793989
1398757451.404706714, 18.6083, 118.525, -0.0793989
1398757451.505262158, 18.6083, 118.525, -0.0793989
1398757451.605794663, 18.6083, 118.525, -0.0793989
1398757451.706326337, 18.6083, 118.525, -0.0793989
1398757451.806858313, 18.6083, 118.525, -0.0793989
1398757451.907426008, 18.6083, 118.525, -0.0793989
1398757452.007943993, 18.6083, 118.525, -0.0793989
1398757452.108481714, 18.6083, 118.525, -0.0793989
1398757452.209046067, 18.6083, 118.525, -0.0793989
1398757452.309547499, 18.6083, 118.525, -0.0793989
1398757452.410029797, 18.6083, 118.525, -0.0793989
1398757452.510577427, 18.6083, 118.525, -0.0793989
1398757452.611146717, 18.6083, 118.525, -0.0793989
1398757452.711703734, 18.6083, 118.525, -0.0793989
1398757452.812274374, 18.6083, 118.525, -0.0793989
1398757452.912848332, 18.6083, 118.525, -0.0793989
1398757453.003371478, 18.6083, 118.525, -0.0793989
1398757453.103947900, 18.6083, 118.525, -0.0793989
1398757453.204530710, 18.6083, 118.525, -0.0793989
1398757453.305043027, 18.6083, 118.525, -0.0793989
1398757453.405604432, 18.6083, 118.525, -0.0793989
1398757453.506120655, 18.6083, 118.525, -0.0793989
1398757453.606706223, 18.6083, 118.525, -0.0793989
1398757453.707277143, 18.6083, 118.525, -0.0793989
1398757453.811810075, 18.6083, 118.525, -0.0793989
1398757453.912337069, 18.6083, 118.525, -0.0793989
1398757454.002839597, 18.6083, 118.525, -0.0793989
1398757454.103376286, 18.6083, 118.525, -0.0793989
1398757454.203878575, 18.6083, 118.525, -0.0793989
1398757454.304427204, 18.6083, 118.525, -0.0793989
1398757454.404997989, 18.6083, 118.525, -0.0793989
1398757454.505581929, 18.6083, 118.525, -0.0793989
1398757454.606105711, 18.6083, 118.525, -0.0793989
1398757454.706685454, 18.6083, 118.525, -0.0793989
1398757454.807212771, 18.6083, 118.525, -0.0793989
1398757454.907787061, 18.6083, 118.525, -0.0793989
1398757455.008318406, 18.6083, 118.525, -0.0793989
1398757455.108865165, 18.6083, 118.525, -0.0793989
1398757455.209384392, 18.6083, 118.525, -0.0793989
1398757455.309921742, 18.6083, 118.525, -0.0793989
1398757455.410373528, 18.6083, 118.525, -0.0793989
1398757455.510919145, 18.6083, 118.525, -0.0793989
1398757455.611490816, 18.6083, 118.525, -0.0793989
1398757455.712052814, 18.6083, 118.525, -0.0793989
1398757455.812598221, 18.6083, 118.525, -0.0793989
